npc_id,npc_name,notes
56172,Ash Moth,"Located in Pei-Wu Forest, The Wandering Isle (Pandaren Starting Zone). Non-aggressive."
56286,Enthralled Forest Prowler,"Can be tamed by Horde if you set yourself ""At War"" with Forest Hozen."
56543,Brittle Greenstone Gorger,Spawn and attack the cart during the quest after leaving Greenstone Quarry. Other players may see and tame them.
56703,Ik'thik Colossus,Only present during the Battle of Stoneplow quest chain.
56753,Hornbill Strider,Spawns during the quest A Taste for Eggs.
56754,Azure Serpent,"Located in Cloudstrike Dojo, Shado-Pan Monastery (Dungeon). Summoned during the battle with Gu Cloudstrike, the first boss of the dungeon. Despite its name this cloud serpent is black, not blue. It is tameable in Normal mode but not Heroic."
56877,Raigonn,Located in Gate of the Setting Sun (Dungeon). The fourth and final boss in Gate of the Setting Sun.
57232,Dappled Moth,Only present during a quest phase.
57237,Bookworm,Only present during a quest phase.
57421,Mothallus,"Spawned using Mothallus Bait, with or without the associated quest. Was named Mothran until patch 5.3."
57797,Corsac Fox,"Located in The Dawning Valley, The Wandering Isle (Pandaren Starting Zone). Non-aggressive. Sleeping."
58111,Thunderbird,"Spawn and attack during the quest ""Cheer Up, Yi-Mo""."
58363,Honeykeeper,Can only be tamed when aggressive due to daily quest.
58419,Sleeping Guardian,Activated during the quests The Pools of Youth (Alliance) and The Pools of Youth (Horde).
58459,Ashweb Weaver,Presence depends on daily quests.
58475,Ashweb Piercer,Presence depends on daily quests.
58568,Ashweb Hatchling,Spawn if you step on mounds. Presence depends on random daily quest.
58588,Ashweb Weaver,Presence depends on daily quests.
58645,Ruined Guardian,Activated during For Family (Horde) and The Lord Reclaimer (Alliance).
58674,Angry Hound,"Located in Scarlet Halls, Scarlet Monastery (Dungeon)."
58755,Manglemaw's Mother,Spawns when Manglemaw is killed. Drops a quest-starting item. Can still be summoned after the quest is completed.
58768,Cracklefang,"Found at coordinates 46,59, just north of Tu Shen Burian Ground. Cracklefang carries a sword that is lost after taming."
58804,Toothrow Skulker,Spawns during the quest The Great Water Hunt.
58808,Waterbite Creeper,Spawns during the quest The Great Water Hunt.
58809,Glade Pincher,Spawns during the quest The Great Water Hunt.
58811,Jade Snapping Turtle,Appears to be in Horde-only phase of area.
58876,Starving Hound,"Located in Scarlet Halls, Scarlet Monastery (Dungeon)."
58883,Feverbite,To get Feverbite to spawn you have to kill a large number of Feverbite Hatchling critters that scurry about the area. Eventually she'll appear on the central platform.
58884,Sha-Haunted Tigress,Sha aura removed on taming.
58885,Sha-Haunted Crane,Sha aura removed on taming.
58889,Longfang Patriarch,Summons Longfang Pack Wolves.
59037,Kung Din,His chain disappears when tamed.
59157,Granite Quilen,Active with daily quest.
59309,Obedient Hound,"Located in Scarlet Halls, Scarlet Monastery (Dungeon)."
59339,Terrified Yak,"Yaks being chased can be tamed, but yaks being ridden cannot."
59488,Spider Mite,Spawn when harvesting Spideroot during the quest Growing the Farm I: A Little Problem.
59680,Battle Goat,Spawn regularly in scripted ambush events.
59753,Golden Tiger,"Originally phased out, but now accessible at later phases."
59754,Mottled Caterpillar,"Originally phased out, but now accessible at later phases."
59756,Chibee,"Remains larger than other caterpillars. He seems to vanish from Fox Grove at later quest phases, but can still be seen and aggroed from just outside Fox Grove if you stand right at the river's edge. Wait patiently and he'll pat down by the river."
59757,Duskstalker,Purple shadow effect is removed upon taming.
59915,Jasper Guardian,Located in Mogu'shan Vaults (Raid). One of The Stone Guard bosses. In 10-player mode only three of the four possible guardians will be present in a given week.
59971,Stone Guardian,Disappears after initial VEB quest chain.
59973,Stone Guardian,Disappears after initial VEB quest chain.
60043,Jade Guardian,Located in Mogu'shan Vaults (Raid). One of The Stone Guard bosses. In 10-player mode only three of the four possible guardians will be present in a given week.
60047,Amethyst Guardian,Located in Mogu'shan Vaults (Raid). One of The Stone Guard bosses. In 10-player mode only three of the four possible guardians will be present in a given week.
60051,Cobalt Guardian,Located in Mogu'shan Vaults (Raid). One of The Stone Guard bosses. In 10-player mode only three of the four possible guardians will be present in a given week.
60131,Spirit Worg,Summoned by Ordo Warbringer.
60203,Nahassa <Mortbreath Patriarch>,"Found in an underwater cave that is reached from Nayeli Lagoon, roughly under the ""YE"" of ""NAYELI LAGOON"" on the map."
60223,Granite Quilen,"Only accessible once, during quest The Might of Three after reaching exalted with Golden Lotus."
60373,Reanimated Quilen,"Originally restricted to a specific quest phase, these quilen were made generally accessible in 5.4."
60401,Snapclaw,"Found in an underwater cave in Narsong Trench, roughly south-east of The Incursion and north-east of Anglers Wharf."
60410,Elegon,Located in Mogu'shan Vaults (Raid).
60576,Stone Quilen,Located in Mogu'shan Vaults (Raid). Trash mob before The Stone Guard bosses.
60623,Enraged Mushan,These appear by the Sha of Anger when it happens to spawn just north-west of Inkgill Mere (but not other spawn points).
60833,Frenzied Stone Quilen,Located in Mogu'shan Vaults (Raid). Trash mob before The Stone Guard bosses.
60875,Summit Prowler,Found asleep outside Grummle Bazaar and other locations.
61159,Greenstone Terror,Located in Greenstone Village (Scenario).
61306,Yao,"Yao and its companion, Yachi, spawn during the quest The Tongue of Ba-Shon, which is part of the Kun-Lai Summit quest chain. It can be tamed by someone other than the quester."
61307,Yachi,"Yachi and its companion, Yao, spawn during the quest The Tongue of Ba-Shon, which is part of the Kun-Lai Summit quest chain. It can be tamed by someone other than the quester."
61387,Quilen Guardian,Located in Mogu'shan Palace (Dungeon).
61408,Adarogg,Located in Ragefire Chasm (Dungeon). Adarogg seems to have more subdued flames than other beasts with this colour combo.
61415,Giant Cave Bat,Located in Mogu'shan Palace (Dungeon).
61509,Sra'thik Kunchong,Present when the daily The Overwhelming Swarm is up.
61565,Quilen Statue,Located in Crypt of Forgotten Kings (Scenario). Activate after looting the urn.
61657,Adolescent Flame Hound,Located in Ragefire Chasm (Dungeon).
61658,Mature Flame Hound,Located in Ragefire Chasm (Dungeon).
61747,Jeweled Macaw,"Although this parrot occurs in three colours, oddly only the red variant makes sounds when clicked."
61848,Wild Onyx Serpent,"The Wild Onyx Serpent circles Mount Neverest in Kun-Lai. It can be difficult to reach but you can just get in range of it if you find the right outcropping to stand on. At max level, use an item level 1 weapon (can be bought from a weapon vendor), remove your armor, and perhaps even kill yourself and take resurrection sickness to pull the serpent without killing it."
61945,Gurthan Iron Maw,Located in Mogu'shan Palace (Dungeon).
62254,Quilen Watcher,Located in Crypt of Forgotten Kings (Scenario).
62324,Norvakess <Terror of the Dread Wastes>,"Appears at the end of the zone quest Cutting the Swarm as the objective the follow-up quest Terror of the Dread Wastes. If you have trouble getting aggro from the Gao-Ran troops, wait until it submerges then tame quickly when it surfaces again."
62442,Tsulong,"Located in Terrace of Endless Spring (Raid). Tsulong is a powerful spirit being and not a regular beast. This ID is for his black, attackable form.Once tamed, Tsulong will respawn as a raid boss about 30 seconds later."
62945,Bloodthirsty Prowler,Located in Greenstone Village (Scenario).
63510,Wulon <The Granite Sentinel>,"While this stone quilen changes colour during combat, he always reverts to his original grey upon taming."
63584,Corrupted Crane,"Found on shoreline east of the Jade Temple, but only when the daily ""The Darkness Around Us"" is offered there."
63722,Azure Prickly Crawler,Spawns during a quest.
63723,Azure Prickly Crawler,Initial quest phase for area only. Picking at the body of Sage Liao.
63895,Shan'ze Cloudrider,"This serpent is only accessible when you're on the quest Surprise Attack!. To unlock this once-off quest you have to reach Exalted with Shado-Pan and Revered with Golden Lotus, and then complete the precursor quest, Mogu Incursions."
63920,Hei Feng,This version of Hei Feng is only accessible when you're on the quest Surprise Attack!.
64183,Enormous Stone Quilen,Located in Mogu'shan Vaults (Raid). Trash mob before The Stone Guard bosses.
64321,Echoweb Spinner,Cave is blocked. Requires quest Old Man Thistle's Treasure to enter.
64323,Echoweb Toxiclaw,Cave is blocked. Requires quest Old Man Thistle's Treasure to enter.
64724,Karanosh <Kunchong Matriarch>,Only present when the daily quests are
64965,Milau <Child of Alani>,"Milau appears in the older, pre-Assaults phase of the zone. The Hall of the Serpent is located downstairs in Guo-Lai Halls, in the north of the zone."
65229,Kypa'rak,Only present when the Dread Wastes daily questing hub is set in Zan'vess (approximately every three days).
65520,Massive Ik'thik Kunchong,Only present during the Battle of Stoneplow quest chain.
65616,Orchard Needler,Spawns during Cloud Serpent daily quest Needle Me Not.
65617,Zijin Hollowfly,Attacks in a large swarm.
65650,Frenzied Caterpillar,May spawn from Widow's Webs.
65711,Siftworm,Can only be tamed when aggressive due to daily quest.
66464,Zhing,Drops a Bag of Kafa Beans which summons a ridable kafa-crazed goat.
66633,Ruukti,Won't show up on minimap till you enter his cave.
66668,Sha-Infested Prowler,Horde-only phase of area around Honeydew Village.
66686,Echoweb Cinderfang,Cave is blocked. Requires quest Old Man Thistle's Treasure to enter.
66695,Echoweb Hatchling,Blocked behind boulders. Spawned by Spider Eggs.
66772,Beast of Jade,"Located in Greenstone Village (Scenario). Random boss, doesn't appear every time."
66783,Akkolon <Spawn of Garalon>,Appears in a quest phase for The Wrath of Shek'zeer. Akkolon can be a difficult tame as the NPCs that accompany can easily take aggro.
66799,Young Stalker,Summoned during fight with Rakira.
67071,Wary Forest Prowler,Found in a Horde-only quest phase in the Honeydew Village area. Replaced by Sha-Infested Prowler shortly after.
67084,Giant Siftworm,Can only be tamed when aggressive due to daily quest.
67087,Ashweb Hatchling,Wander in packs. Presence depends on random daily quest.
67099,Succula <Waterbite Widow>,"Succula hides in the water, just off the shore in the far north-east corner of The Heartland, only a few feet west of the Gilded Fan."
67770,Acidfang Slitherer,"Can only be found in the ""Tear Down This Wall!"" scenario, available for both Horde and Alliance."
67774,Zan'thik Brutalizer,Located in Assault on Zan'vess (Scenario).
67820,Bombyx,Bombyx is a special tracking tame that patrols a small section of Krasarang River.
67896,Polluted Viseclaw,Phased. Appears after the intro quests for Dominance Offensive or Operation: Shieldwall.
68079,Ro'shak <The Molten Flare>,"Located in Grand Courtyard, Throne of Thunder (Raid). Part of the Iron Qon fight. Ro'shak is only accessible when ridden by Iron Qon."
68080,Quet'zal <The Stormcaller>,"Located in Grand Courtyard, Throne of Thunder (Raid). Part of the Iron Qon fight. Quet'zal is only accessible when ridden by Iron Qon."
68081,Dam'ren <The Frozen Sage>,"Located in Grand Courtyard, Throne of Thunder (Raid). Part of the Iron Qon fight. Dam'ren is only accessible when ridden by Iron Qon."
68476,Horridon,"Located in Royal Amphitheater, Throne of Thunder (Raid). You may have trouble ending the fight once Horridon is tamed. One option is to feign death, create a group, then leave the group and wait for the 1 minute timer to boot you out of the instance. You may also be locked out of Horridon's arena for a while (30 or more minutes) until the dungeon soft resets."
68583,Polluted Viseclaw Fry,Phased. Appears after the intro quests for Dominance Offensive or Operation: Shieldwall.
68584,Polluted Viseclaw Scuttler,Phased. Appears after the intro quests for Dominance Offensive or Operation: Shieldwall.
69099,Nalak <The Storm Lord>,Nalak respawns approximately every 15-20 minutes.
69148,Bloodrender Devilsaur,Has a troll rider which despawns upon taming.
69161,Oondasta,World Boss.
69177,Amani Warbear,"Located in Royal Amphitheater, Throne of Thunder (Raid). Appears during third gate phase of Horridon fight, when Amani trolls descend from the stadium to attack you."
69180,Tamed Bladetalon,Ridden by Zandalari Beastlords.
69306,Loa-Infused Bladetalon,Ridden by Loa Speakers.
69349,Dark-Eye Raven,Flees when attacked. You'll need to freeze it in place.
69562,Nalak <The Storm Lord>,"Located in The Foot of Lei Shen, The Fall of Shan Bu (Isle of Thunder) (Scenario). This version of Nalak appears in the very last stage of the The Fall of Shan Bu, the final scenario in the (one-time) Isle of Thunder intro quest chain. He will activate after you've defeated the troll and mogu NPCs around Shan Bu. He will rapidly fly out of range, so to tame him you should stand to the left of Shan Bu (when facing him from the entrance), on a large disc with a Mogu face, roughly where the mouth is. Start to tame the second he activates."
69712,Ji-Kun,"Located in Roost of Ji-Kun, Throne of Thunder (Raid). The sixth boss of the Throne of Thunder raid."
69795,Zandalari Battlebeast,Spawns sporadically during the constant attacks on Bleak Hollow.
69943,Gumi,"Gumi must be reduced to 30% health before it can be tamed. If you're high level it can be very hard to do this without killing it, so you should remove ALL of your gear, kill yourself and take resurrection sickness, then reduce its health slowly with punches.In contrast, if you're low level you may find Gumi hits very hard, so kiting is probably necessary."
69946,Hutia,"Hutia must be reduced to 30% health before it can be tamed, and it periodically casts an interruptable heal. If you're high level it can be very hard to do this without killing it, so you should remove ALL of your gear, kill yourself and take resurrection sickness, then reduce its health slowly with punches. Unless you have an interrupt that causes no damage you may have to just put up with the heals.In contrast, if you're low level you may find Hutia hits very hard, so kiting (and maybe help from a friend) is probably necessary."
69947,Degu,"Degu patrols the cliff-edge at the southern border of the valley, from a point south-east of Stormstout Brewery, east to a point just above Thunder Cleft. It must be reduced to 30% health before it can be tamed. If you're high level it can be very hard to do this without killing it, so you should remove ALL of your gear, kill yourself and take resurrection sickness, then reduce its health slowly with punches.In contrast, if you're low level you may find Degu hits very hard, so kiting is probably necessary."
70120,Pterrorwing,Found in the hold of Beastcaller Tuk'wa's ship.
70172,Shrimp Stuffed Seagull,Appears when the giant mantis shrimp fishing event occurs.
70327,Stone Watcher,Located in Troves of the Thunder King (Scenario). Found in the second area of the Scenario.
70448,Ancient Python,"Located in Grand Overlook, Throne of Thunder (Raid). Found in the area directly after the first boss. Spawns when you run over patches of grass in the south-east and south-west corners of the platform."
70558,Young Pterrorwing,Summoned by Zandalari Beast Handlers during combat.
70589,Cavern Burrower,"Located in Forgotten Depths, Throne of Thunder (Raid). This beast appears when you walk over the rumbling patches of dust and mushrooms in the Forgotten Depths."
70595,Frostmane Prowler,Located in Blood in the Snow (Scenario).
70702,Flame Hound,Located in The Secrets of Ragefire (Scenario). Bug: Taming it will break the rest of the scenario.
71297,Tamed Bladetalon,"Ridden by Zandalari Beastlords, in periodic attacks on Bleak Hollow."
71491,Guardian of Sacrifice,"Located in Crypt of Forgotten Kings (Scenario). Found in Heroic mode only. Sits atop the dais behind the first boss, Jin Ironfist."
71529,Thok the Bloodthirsty,"Located in The Menagerie, Siege of Orgrimmar (Raid). Taming Thok counts as defeating him, so you can complete the rest of the raid."
71578,Amber Parasite,"Located in Chamber of the Paragons, Siege of Orgrimmar (Raid). Will spawn during Paragons fight if Rikkal's Injection spell is not mitigated by tanks."
71921,Darkfang,"Located in The Valley of Strength, Siege of Orgrimmar (Raid). Part of the Kor'kron Dark Shaman boss encounter."
71923,Bloodclaw,"Located in The Valley of Strength, Siege of Orgrimmar (Raid). Part of the Kor'kron Dark Shaman boss encounter."
72275,Black Bengal Goat,"This second ID for the Black Bengal Goat was added in patch 5.4. Unlike the other, this one has a Sha aura (lost upon taming)."
72329,Lavalisk,Has fire effects over body which are lost upon taming.
72452,Kor'kron Dire Wolf,"Located in The Valley of Strength, Siege of Orgrimmar (Raid)."
72775,Bufo,"To increase your chances of Bufo spawning, keeping killing all the other frogs in Croaking Hollow."
72876,Crimsonscale Firestorm,These beasts can be seen flying over the centre of the isle.
72927,Kovok,"Located in Chamber of the Paragons, Siege of Orgrimmar (Raid)."
72991,Orphaned Frost Wolf,Friendly to Horde.
73158,Emerald Gander,"To increase your chances of the Emerald Gander spawning, kill Brilliant Windfeathers in the areas surrounding the Celestial Court."
73160,Ironfur Steelhorn,"To increase your chances of the Ironfur Steelhorn spawning, clear out the packs of other Ironfur yaks from the areas surrounding the Celestial Court."
73163,Imperial Python,Spawns rarely in place of Imperial Pythons in the lower areas of the island.
73166,Monstrous Spineclaw,"To increase your chances of the Monstrous Spineclaw spawning, keep killing all the other Spineclaws that can be found along the coastline of the southern half of the isle."
73167,Huolon,Huolon spawns every 30-60 minutes. It follows a circuit that passes over the Blazing Way and can be intercepted close to the north end of the second bridge.
73185,Enraged Mushan Beast,"Located in The Menagerie, Siege of Orgrimmar (Raid). Trash mob before the Thok encounter."
73223,Pterrordax,"Located in The Menagerie, Siege of Orgrimmar (Raid). A couple fly freely about the chamber that houses Thok the Bloodthirsty."
73227,Wastes Rockworm <Child of Shui Halad>,"Tiny, travels in packs."
73805,Corrupted Toad,Green aura lost after taming.
73960,Elekk,Friendly to Alliance.
74446,Ghamoo-Ra,"Located in The Pool of Ask'ar, Blackfathom Deeps (Dungeon). Changed appearance in 6.0. Used to have ancient sea turtle look."
74508,Guardian of the Deep,"Located in The Forgotten Pool, Blackfathom Deeps (Dungeon). Can only be tamed once released from captivity. It will flee to an underwater cavern, below the entrance to the Sanctum."
74509,Blue Shale Crawler,"Located in The Forgotten Pool, Blackfathom Deeps (Dungeon). Different to the critter of the same name in the same instance. Reached underwater, in the cavern below the entrance to the Sanctum."
74583,Festering Spiderling,Located in Razorfen Downs (Dungeon).
74584,Plague-Rotted Webslinger,Located in Razorfen Downs (Dungeon).
74620,Battle Boar,Located in Razorfen Kraul (Dungeon).
74722,Razorshell Snapjaw,"Located in The Pool of Ask'ar, Blackfathom Deeps (Dungeon)."
75247,"Groyat, the Blind Hunter",Located in Razorfen Kraul (Dungeon).
75280,Darkwing Matron,Flying
75466,Vile Bat,Located in Razorfen Kraul (Dungeon).
75467,Cave Bat,Located in Razorfen Kraul (Dungeon).
75588,Grotto Toad,"Located in Razorfen Kraul (Dungeon). Inhabits the caverns to the far west, on the way to Charlga Razorflank."
75590,Enormous Bullfrog,"Located in Razorfen Kraul (Dungeon). Inhabits the caverns to the far west, on the way to Charlga Razorflank."
76143,Rukhran,Located in Skyreach (Dungeon). Taming Rukhran will block progress in this dungeon.
76181,Ragemaw Worg,"Located in Dragonspire Hall, Upper Blackrock Spire (Dungeon)."
76253,Dread Raven Hatchling,Located in Skyreach (Dungeon).
76624,Vicious Longtusk,"Spawns during the Horde-only quest, The Battle of Thunder Pass."
76874,Dreadwing,"Located in The Breaking Grounds, Blackrock Foundry (Raid). Part of the Beastlord Darmac fight."
76891,Ice Spider,In a cave south-west of Bladespire Fortress.
76945,Ironcrusher,Located in Blackrock Foundry (Raid). Ironcrusher is part of the Beastlord Darmac encounter and cannot be attacked until Darmac activates it. Engage Darmac while he's closest to Ironcrusher in order to ensure it's activated first.
76946,Faultline,"Located in The Breaking Grounds, Blackrock Foundry (Raid). Part of the Beastlord Darmac fight."
76954,Pahboo-Ra <Son of Ghamoo-Ra>,"Located in The Pool of Ask'ar, Blackfathom Deeps (Dungeon). His look is the same as the original Ghamoo-Ra, which has changed appearances in 6.0."
77093,Roardan the Sky Terror,"Roardan flies in a circuit around Heart of the Fen and Mistcreep Mire, pausing occasionally to land on a rock or mushroom. If you find a known landing spot to wait at, you can tame as soon as Roardan lands."
77122,Thunderlord War Rylak,Ridden by Thunderlord orcs. Cannot be aggroed or killed.
77124,Crag Goretusk,Found in several caves in the area.
77129,Elder Crag Goretusk,"Occasionally found in caves in the area, accompanied by regular Crag Goretusks."
77441,Dusky Teromoth,Spawn from Deathweb Cocoons.
77442,Nightslash Owl,Spawns from Deathweb Cocoons.
77443,Darkwoods Stalker,Trapped in spider webs.
77519,Giantbane,The hunting party on its back leaps off and attacks as you tame.
77634,Taladorantula,Squish a lot of spider critters underfoot to summon this mob.
77845,Ironmarch War Wolf,Phased area of Blasted lands for Warlords of Draenor.
77886,Frost Wolf,Friendly to Horde. Attacking the Mother of Wolves.
77927,Son of the Beast,"Located in The Furnace, Upper Blackrock Spire (Dungeon). The only remaining core hound to use the old orange-red model."
77957,Deathweb Hatchling,Spawn when you walk over eggs.
78291,Deathweb Crawler,In the back of the cave.
78364,Iron Horde Battlebeast,Lieutenant O'rok dismounts and attacks when you tame. There's also a chance he'll jump back on again!
78432,Burning Hunter,The ones patrolling with the Legion Assailants are not controlled and are tameable.
78457,Burning Hunter,Spawned by an event and may phase out when complete.
78489,Snickerfang Pup,Phased area of Blasted lands for Warlords of Draenor.
78528,Trained Clefthoof Mount,"Located in Wor'gol (quest phase), Frostfire Ridge. Appears during ""Save Wolf Home"" quest phase."
78550,Controlled Darkwing,Ridden by goblins. Have lights on their heads which vanish upon taming.
78864,Deathweb Hatchling,In the back of the cave.
78872,Klikixx,In the back of the cave.
78918,Icehoof Calf,Travels in a pack with an Icehoof Bull and Icehoof Cow.
78919,Icehoof Cow,Travel in a pack with an Icehoof Bull and Icehoof Calves.
78920,Icehoof Bull,Travel in a pack with an Icehoof Cow and Icehoof Calves.
79061,Void-torn Kaliri,Spectral effect lost upon taming.
79148,Phantom Pearltusk,The Phantom Pearltusk with this ID has a purple ghostly effect that is lost upon taming. It wanders the Burial Fields.
79149,Phantom Pearltusk Calf,Has a purple ghostly effect that is lost upon taming.
79285,Lunarfall Matriarch,Phases out once your garrison is created (Alliance). Never visible to Horde.
79483,Porkchop,"Appears during the Ring of Trials stage: Ring of Trials: Crushmaul. You must be on this quest, or perhaps quest synced with someone on the quest, in order to see the NPCs."
79524,Hypnocroak,Hypnocroak's orange eye effect is lost upon taming.
79755,Savage Warwolf,Not always present. You may wait a while for spawns in some phases.
80034,Icewing Rylak,"Unlike the regular version, this Icewing Rylak spawns infrequently near the lair of an Engorged Ice Lurker. It will be quickly devoured by the worm if you don't aggro it first."
80098,Ironbarb Skyreaver,"Located in Blackrock Stadium, Upper Blackrock Spire (Dungeon). Part of Tharbek encounter."
80174,Pack Boar,Loses saddle pack on tame.
80227,Icewing Drift-Hunter,"Phases out once your garrison is completed, so you would need to reach level 92 first. Never phased to Alliance."
80420,Icehoof Calf,Carried randomly by Frostfire Gronnlings in the pre-Garrison phase of Frostwall. Can be tamed right out of their hands!
80715,Deathspine Ravager,Located in Tanaan Jungle (Intro Phase).
80779,Icespine Ravager,Phases out once your Garrison is completed (Horde).
80997,Elekk,"Friendly to Alliance. It can be found by the west entrance to Embaari Village (with a Trader), and at two settlements in Arbor Glen."
81001,Nok-Karosh <Warrior's Death>,Nok-Karosh sleeps amid a pack of Garn Nighthowl wolves.
81083,Elekk Grazer,"Friendly to Alliance. Found in a pen with some Elekk Calves, to the west of the main village."
81084,Elekk,Friendly to Alliance.
81306,Preston,Friendly to Alliance.
81307,Argyle,Friendly to Alliance.
81983,Verdant Mandragora,Located in The Everbloom (Dungeon).
82037,Lunarfall Raven,Phases out once your garrison is created (Alliance). Never visible to Horde.
82050,Varasha,Spawned by The Egg of Varasha event.
82192,Glittering Mothling,Has spectral effect which is lost upon taming.
82258,Phantom Pearltusk,The Phantom Pearltusk with this ID has a white ghostly effect that is lost upon taming. It can be found just south of the Burial Fields.
82307,Shadowmoon Packleader,Lacks the idle sounds of many wolves of this type.
82308,Shadowmoon Stalker,New Mag'har Orc hunters begin with this pet. It is also This beast is unusual in that it is the starter pet for Mag'har Orcs as well as a wild beast that can be tamed by any hunter. No other racial starter pet has an ID that is also available for general taming.
82310,Stonehide Riverbeast,Located in Ashran (Battleground).
82356,Deathweb Hatchling,Spawn during combat with Deathweb Crawler in the back of the cave.
82513,Void-Touched Charger,Void aura lost upon taming.
82530,Mandragora,Located in Tanaan Jungle (Warlords of Draenor Intro Phase).
82617,Slogtusk the Corpse-Eater,Inside a large cave.
82778,Gnarlhoof the Rabid,On an overlook at south end of Gorge. Glowing eyes and smoke effects lost upon taming.
83389,Ironwing Flamespitter,"Located in Iron Docks (Dungeon and Non-Instanced), Gorgrond; Iron Docks (Dungeon)."
83444,Electrified Stingtail,Electric effect lost upon taming.
83455,Twilight Riverbeast,"Appear mostly dead, with tentacular growths. Effect is lost upon taming."
83553,Insha'tar,Appears to the west of the Path of the Light.
83681,Buzzing Venomfly,"Located in Gorian Falls, Ashran (Battleground). Not found outside the battleground instance."
83719,Wild Goreger,Located in Ashran (Battleground). Not found outside the battleground instance.
83720,Sporebat Darter,Located in Ashran (Battleground). Found near the Amphitheater of Annihiliation. Not found outside the battleground instance.
83804,Ashmaul Gutwrencher,"Located in Brute's Rise, Ashran (Battleground). Not found outside the battleground instance."
83815,Mastiff <Alliance Guard's Pet>,"Located in Archmage Overwatch, Ashran (Battleground). Friendly to Alliance."
83840,Sand Snapper,Located in Ashran (Battleground). Not found outside the battleground instance.
83841,Flat-Toothed Riverbeast,Located in Ashran (Battleground). Found on the beach roughly north of Brute's Rise and east of Warspear. It doesn't appear outside the battleground instance.
83976,Dread Raven,Ridden by Skyreach Dawnbreaker.
83982,Dread Raven,Ridden by Skyreach Dawntalon.
83984,Dread Raven,Ridden by Skyreach Tempest-Keeper.
84097,Boneshallow Spider,"Located in Ashmaul Burial Grounds, Ashran (Battleground). Not found outside the battleground instance."
84102,Cadaverous Vulture,"Located in Ashmaul Burial Grounds, Ashran (Battleground). Not found outside the battleground instance."
84190,Boneshallow Spider,"Located in Ashmaul Burial Grounds, Ashran (Battleground). On walls inside buildings. Not found outside the battleground instance."
84399,Vicious Mandragora,Located in The Everbloom (Dungeon).
84644,Vilewing Rylak,"Located in Molten Quarry, Ashran (Battleground). Not found outside the battleground instance."
84793,Frost Wolf,"Frozen, attacks when freed."
84798,Icehoof Calf,Frozen. Attacks when freed.
84799,Adolescent Snow Lurker,Frozen. Attacks when freed.
84912,Sunderthorn,"Located east of Murkbog, west of Sethekk Hollow. She is spawned by killing the Stingtail wasps around her hive. If you find her wasps phase out (which happens in later quest phases) you can see and kill them from the periphery and tame her when she spawns."
84919,Seacliff Kaliri,Frozen in bubbles. Aggressive once released.
84955,Jiasska the Sporegorger,Swamp area south-west of Pinchwhistle Point. Coated in mushrooms which vanish upon taming.
85453,Thornscar Ravager,Ridden by Shattered Hand Flayer
85753,Kaliri Skyterror,Located in Ashran (Battleground). Not found outside the battleground instance.
85756,Onyx Ravager,Located in Ashran (Battleground). Not found outside the battleground instance.
85856,Bloodthirsty Axebeak,Located in Tanaan Jungle (Intro Phase).
86286,Bladefist Ravager,Some ridden by Shattered Hand Pit-Masters.
86455,Brood Mother Xylax,The Brood Mother is Head south-west of the outside fighting area.
86507,Taladorette,Spawn during combat with Taladorantula.
86780,Napestone Riverbeast,Located in Tanaan Jungle (Intro Phase).
87425,Tainted Lightwing,Void aura lost upon taming.
87699,Rockhide Calf,"Wanders the wide plains to the north-west, west, and south-west of the Temple of Karabor. Only the dark-coloured ones seem to makes sounds when clicked."
88075,Stonehide Riverbeast,Can be found outside battleground area. Often found around the beaches of Stormshield and Warspear.
88076,Sand Scavenger,Can be found outside battleground area. Often found around the beaches of Stormshield and Warspear.
88150,Untamed Mandragora,Summoned by the world boss Tarlna the Ageless.
88208,Pit Beast,"When present, it's just to the east, inside the entrance of the Proving Grounds."
88523,Ravager Pit Fodder,"Released from cages using Ogre Cage Key, taken from Bloodring Slavers. You, or someone with you, must have the once-only quest, Assault on the Gorian Proving Grounds to open a cage."
88524,Larva Pit Fodder,"Released from cages using Ogre Cage Key, taken from Bloodring Slavers. You, or someone with you, must have the once-only quest, Assault on the Gorian Proving Grounds to open a cage."
88525,Reaver Pit Fodder,"Released from cages using Ogre Cage Key, taken from Bloodring Slavers. You, or someone with you, must have the once-only quest, Assault on the Gorian Proving Grounds to open a cage."
88708,Gara,"Gara is not immediately tameable, but involves a complex quest, starting with a different version of the NPC."
88710,Lost Netherwolf,"This wolf is intended as a replacement for hunters who have tamed and then released / lost Gara. She isn't tameable by anyone else. Found only when in the shadow realm, north-west of Karabor."
88922,Surfrider Crab,"Phased out in 6.2 phase, but can be seen and pulled out of phase along the north-west shore of the zone."
89244,Ironhoof Trampler,"Located in Frostwall & Lunarfall (Garrisons), Frostfire Ridge; Shadowmoon Valley - Draenor. The Ironhoof Trampler appears in the final stage of an Iron Horde garrison invasion, ridden by the final boss. It is tameable but at high level you may have difficulty taking aggro from the other NPCs without killing it."
89689,Diresnout Felboar,"Located in Hellfire Citadel (Non-Instanced), Tanaan Jungle."
89837,Icespine Drone,Groups of these spawn if you run over the Frostburst Eggs located near Hivelord Ik'rix.
90124,Emberhide Warbeast,Grom'kar Leadslinger rider will dismount once beast is tamed.
